university_province,university,name
ZA-EC,Jeffrey’s Bay,Jeffrey’s Bay
ZA-EC,Kalerato,Kalerato
ZA-EC,Khanya,Khanya
ZA-EC,Khanyisa,Khanyisa
ZA-EC,Makanaskop,Makanaskop
ZA-EC,Mangquzu,Mangquzu
ZA-EC,Masizakhe,Masizakhe
ZA-EC,Mgobozi Commercial,Mgobozi Commercial
ZA-EC,Msobomvu,Msobomvu
ZA-EC,Ngqeleni,Ngqeleni
ZA-EC,Ntukayi,Ntukayi
ZA-EC,Osborn,Osborn
ZA-EC,Phakamile (Phaphani),Phakamile (Phaphani)
ZA-EC,Port St Johns,Port St Johns
ZA-EC,Qoqodala,Qoqodala
ZA-EC,Qumbu,Qumbu
ZA-EC,Sinethemba,Sinethemba
ZA-EC,Sofunda,Sofunda
ZA-EC,Soweto-On-Sea,Soweto-On-Sea
ZA-EC,St Dennis,St Dennis
ZA-EC,Vorster,Vorster
ZA-EC,Zimele,Zimele
ZA-EC,Zwelakhe,Zwelakhe
ZA-FS,Boitumelo,Boitumelo
ZA-FS,Free State CET College,Free State CET College
ZA-FS,Katlehong,Katlehong
ZA-FS,Kgodiso,Kgodiso
ZA-FS,Letjhabile,Letjhabile
ZA-FS,NG Noord,NG Noord
ZA-FS,Ponelopele,Ponelopele
ZA-FS,Retswelletse,Retswelletse
ZA-FS,Rutegang,Rutegang
ZA-FS,Tjheseho,Tjheseho
ZA-FS,Tsibogang,Tsibogang
ZA-FS,Tumahole,Tumahole
ZA-FS,Umziwoxolo,Umziwoxolo
ZA-FS,Vulamehlo,Vulamehlo
ZA-FS,Wesselsbron,Wesselsbron
ZA-FS,Zakhele Ikusasa,Zakhele Ikusasa
ZA-GT,21 Battalion Community Learning Centre,21 Battalion Community Learning Centre
ZA-GT,Aaron Moeti Community Learning Centre,Aaron Moeti Community Learning Centre
ZA-GT,Alexandra Community Learning Centre,Alexandra Community Learning Centre
ZA-GT,Bekkersdal Community Learning Centre,Bekkersdal Community Learning Centre
ZA-GT,Bethsaida,Bethsaida
ZA-GT,Chiawelo Community Learning Centre,Chiawelo Community Learning Centre
ZA-GT,City Deep Community Learning Centre,City Deep Community Learning Centre
ZA-GT,DWT Thate,DWT Thate
ZA-GT,Daveyton Community Learning Centre,Daveyton Community Learning Centre
ZA-GT,Denver Community Learning Centre,Denver Community Learning Centre
ZA-GT,Diepkloof Community Learning Centre,Diepkloof Community Learning Centre
ZA-GT,Duduza Community Learning Centre,Duduza Community Learning Centre
ZA-GT,E.D Mafole Community Learning Centre,E.D Mafole Community Learning Centre
ZA-GT,Fourways Community Learning Centre,Fourways Community Learning Centre
ZA-GT,Gaegolelwe,Gaegolelwe
ZA-GT,Gaerobe,Gaerobe
ZA-GT,Gauteng CET College,Gauteng CET College
ZA-GT,Hammanstkraal,Hammanstkraal
ZA-GT,Herbert Mdingi Community Learning Centre,Herbert Mdingi Community Learning Centre
ZA-GT,Holy Trinity,Holy Trinity
ZA-GT,Ivory Park Community Learning Centre,Ivory Park Community Learning Centre
ZA-GT,Josiah Khumalo Community Learning Centre,Josiah Khumalo Community Learning Centre
ZA-GT,Kagiso Community Learning Centre,Kagiso Community Learning Centre
ZA-GT,Khutsong Community Learning Centre,Khutsong Community Learning Centre
ZA-GT,Kwa -Thema Community Learning Centre,Kwa -Thema Community Learning Centre
ZA-GT,Kwazini Community Learning Centre,Kwazini Community Learning Centre
ZA-GT,Mamelodi,Mamelodi
ZA-GT,Moepathutse,Moepathutse
ZA-GT,Morakapula,Morakapula
ZA-GT,PQ Vundla Community Learning Centre,PQ Vundla Community Learning Centre
ZA-GT,Peter Lengene Community Learning Centre,Peter Lengene Community Learning Centre
ZA-GT,Pretoria Central,Pretoria Central
ZA-GT,Reneilwe,Reneilwe
ZA-GT,Sebokeng Community Learning Centre,Sebokeng Community Learning Centre
ZA-GT,Setlakalane Molepo Community Learning Centre,Setlakalane Molepo Community Learning Centre
ZA-GT,Sharperville Community Learning Centre,Sharperville Community Learning Centre
ZA-GT,St Anthonys Community Learning Centre,St Anthonys Community Learning Centre
ZA-GT,Sydney Maseko Community Learning Centre,Sydney Maseko Community Learning Centre
ZA-GT,Taamane,Taamane
ZA-GT,Tembisa Community Learning Centre,Tembisa Community Learning Centre
ZA-GT,Thokoza Community Learning Centre,Thokoza Community Learning Centre
ZA-GT,Thutomfundo Community Learning Centre,Thutomfundo Community Learning Centre
ZA-GT,Tsakane Community Learning Centre,Tsakane Community Learning Centre
ZA-GT,Tswinyane Community Learning Centre,Tswinyane Community Learning Centre
ZA-GT,Victory Community Learning Centre,Victory Community Learning Centre
ZA-GT,Vunanimfundo Communi Learnin Centre,Vunanimfundo Communi Learnin Centre
ZA-GT,Wattville Community Learning Centre,Wattville Community Learning Centre
ZA-GT,Wedela Community Learning Centre,Wedela Community Learning Centre
ZA-LP,Bogwasha Community Learning Centre,Bogwasha Community Learning Centre
ZA-LP,Dambalwashe Community Learning Centre,Dambalwashe Community Learning Centre
ZA-LP,Giyani Comprehensive Community Learning Centre,Giyani Comprehensive Community Learning Centre
ZA-LP,Helen Franz Hospital,Helen Franz Hospital
ZA-LP,Khudutseke Community Learning Centre,Khudutseke Community Learning Centre
ZA-LP,Limpopo CET College,Limpopo CET College
ZA-LP,Mageme Community Learning Centre,Mageme Community Learning Centre
ZA-LP,Makwarela Community Learning Centre,Makwarela Community Learning Centre
ZA-LP,Malamulele Public Works Community Learning Centre,Malamulele Public Works Community Learning Centre
ZA-LP,Mapeloana,Mapeloana
ZA-LP,Maphopha Community Learning Centre,Maphopha Community Learning Centre
ZA-LP,Modjadji Community,Modjadji Community
ZA-LP,Musina Community Learning Centre,Musina Community Learning Centre
ZA-LP,Nelson Skop Community Learning Centre,Nelson Skop Community Learning Centre
ZA-LP,OR Tambo Community Learning Centre,OR Tambo Community Learning Centre
ZA-LP,Phomelelo Community Learning College,Phomelelo Community Learning College
ZA-LP,Pondo Community Learning Centre,Pondo Community Learning Centre
ZA-LP,Seshego Hospital,Seshego Hospital
ZA-LP,Thabamoopo Hospital,Thabamoopo Hospital
ZA-LP,Tivumbeni Community,Tivumbeni Community
ZA-LP,Tshikondeni Community Learning Centre,Tshikondeni Community Learning Centre
ZA-MP,Andisa,Andisa
ZA-MP,Cheshire,Cheshire
ZA-MP,Chubekani,Chubekani
ZA-MP,Eamogetswe,Eamogetswe
ZA-MP,Kamaqhekeza,Kamaqhekeza
ZA-MP,Kennen,Kennen
ZA-MP,Kwaguqa,Kwaguqa
ZA-MP,Mafu,Mafu
ZA-MP,Mpumalanga CET College,Mpumalanga CET College
ZA-MP,Rivoningo,Rivoningo
ZA-MP,Salubindza,Salubindza
ZA-MP,Shalamuka,Shalamuka
ZA-MP,Simile,Simile
ZA-MP,Thulamahashe,Thulamahashe
ZA-MP,Vulamehlo,Vulamehlo
ZA-MP,Wesselton,Wesselton
ZA-NC,Helen Joseph CLC,Helen Joseph CLC
ZA-NC,Itlhatloseng CLC,Itlhatloseng CLC
ZA-NC,Kareeville CLC,Kareeville CLC
ZA-NC,Kolomela CLC,Kolomela CLC
ZA-NC,Mecwi CLC,Mecwi CLC
ZA-NC,Northern Cape CET College,Northern Cape CET College
ZA-NC,People's Public CLC,People's Public CLC
ZA-NC,Thuto-Boswa CLC,Thuto-Boswa CLC
ZA-NL,121 Battalion CLC,121 Battalion CLC
ZA-NL,Bekezela CLC,Bekezela CLC
ZA-NL,Bhongweni CLC,Bhongweni CLC
ZA-NL,Bonamuva CLC,Bonamuva CLC
ZA-NL,Bonela CLC,Bonela CLC
ZA-NL,Braaimwood CLC,Braaimwood CLC
ZA-NL,CB Addison CLC,CB Addison CLC
ZA-NL,Dokkies CLC,Dokkies CLC
ZA-NL,Embonisweni CLC,Embonisweni CLC
ZA-NL,Emlandeleni CLC,Emlandeleni CLC
ZA-NL,Endleleni CLC,Endleleni CLC
ZA-NL,Funulwazi CLC,Funulwazi CLC
ZA-NL,Harding HRD CLC,Harding HRD CLC
ZA-NL,Hlakaniphani CLC,Hlakaniphani CLC
ZA-NL,Ilungelolethu CLC,Ilungelolethu CLC
ZA-NL,Inqabayamangwane CLC,Inqabayamangwane CLC
ZA-NL,Isibani CLC,Isibani CLC
ZA-NL,Ithuba CLC,Ithuba CLC
ZA-NL,Jozini CLC,Jozini CLC
ZA-NL,KZN CET College,KZN CET College
ZA-NL,Lathi-tha CLC,Lathi-tha CLC
ZA-NL,Lethukukhanya CLC,Lethukukhanya CLC
ZA-NL,Manaye CLC,Manaye CLC
ZA-NL,Meshack Ntshulwana CLC,Meshack Ntshulwana CLC
ZA-NL,Ondini CLC,Ondini CLC
ZA-NL,Phathisizwe CLC,Phathisizwe CLC
ZA-NL,Phindangene CLC,Phindangene CLC
ZA-NL,Phumelela,Phumelela
ZA-NL,Qinisela CLC,Qinisela CLC
ZA-NL,Sesikwazi CLC,Sesikwazi CLC
ZA-NL,Sikhanyiselwe CLC,Sikhanyiselwe CLC
ZA-NL,Siyanatha  CLC,Siyanatha  CLC
ZA-NL,Stoffelton  CLC,Stoffelton  CLC
ZA-NL,Thandiwe CLC,Thandiwe CLC
ZA-NL,Thathezakho CLC (Limehill),Thathezakho CLC (Limehill)
ZA-NL,Ulwazi CLC,Ulwazi CLC
ZA-NL,Umendomuhle CLC,Umendomuhle CLC
ZA-NL,Usizuzulu CLC,Usizuzulu CLC
ZA-NL,Wotana CLC,Wotana CLC
ZA-NL,Zamani CLC,Zamani CLC
ZA-NL,Zibuke CLC,Zibuke CLC
ZA-NW,Dinaledi CLC,Dinaledi CLC
ZA-NW,Good Shepherd CLC,Good Shepherd CLC
ZA-NW,Ikageng CLC,Ikageng CLC
ZA-NW,Iphatlhose CLC,Iphatlhose CLC
ZA-NW,Kgatelopele CLC,Kgatelopele CLC
ZA-NW,Lodirile CLC,Lodirile CLC
ZA-NW,Neo-Estsile,Neo-Estsile
ZA-NW,North West CET College,North West CET College
ZA-NW,Pooe CLC,Pooe CLC
ZA-NW,Raphephe CLC,Raphephe CLC
ZA-NW,Reabetswe CLC,Reabetswe CLC
ZA-NW,Sekitla CLC,Sekitla CLC
ZA-WC,Central Karoo,Central Karoo
ZA-WC,Eerste River,Eerste River
ZA-WC,Elsies River,Elsies River
ZA-WC,George,George
ZA-WC,Malmesbury,Malmesbury
ZA-WC,Masiyile,Masiyile
ZA-WC,Olifantsriver,Olifantsriver
ZA-WC,Oudtshoorn,Oudtshoorn
ZA-WC,Overberg,Overberg
ZA-WC,Portlands,Portlands
ZA-WC,Sijonga-Phambili,Sijonga-Phambili
ZA-WC,St Francis,St Francis
ZA-WC,Villiersdorp,Villiersdorp
ZA-WC,Wellington,Wellington
ZA-WC,Western Cape CET College,Western Cape CET College
ZA-WC,Worcester,Worcester
ZA-FS,Swift Skills Academy,Sasolburg
ZA-GT,St Augustine College of South Africa,Johannesburg
ZA-NL,Mangosuthu University of Technology (MUT),Natural Sciences
ZA-WC,Mowbray Maternity Hospital,Mowbray
ZA-WC,Stellenbosch University (SU),Bellville Park
ZA-WC,Stellenbosch University (SU),Saldanha
ZA-WC,Stellenbosch University (SU),Worcester
ZA-WC,Swift Skills Academy,Killarney Gardens
ZA-WC,Swift Skills Academy,Vredenburg
ZA-WC,The Fashion Institute of Garment Technology (Cape Town College of Fashion Design),Mowbray
ZA-EC,Eduvos,East London
ZA-EC,Eduvos,Port Elizabeth
ZA-FS,Eduvos,Bloemfontein
ZA-GT,Eduvos,Bedfordview
ZA-GT,Eduvos,Midrand
ZA-GT,Eduvos,Pretoria
ZA-GT,Eduvos,Vanderbijlpark
ZA-GT,South African Theological Seminary,Sandton
ZA-MP,Eduvos,Nelspruit
ZA-NL,Eduvos,Umhlanga
ZA-NW,Eduvos,Potchefstroom
ZA-WC,Eduvos,Cape Town
ZA-WC,Eduvos,Durbanville
