university_province,university,name
ZA-WC,Northlink,Protea
ZA-WC,Northlink,Tygerberg
ZA-WC,Northlink,Wingfield
ZA-WC,South Cape,Central Office
ZA-WC,South Cape,Beaufort West
ZA-WC,South Cape,Bitou
ZA-WC,South Cape,George
ZA-WC,South Cape,Hessequa
ZA-WC,South Cape,Mossel Bay
ZA-WC,South Cape,Oudtshoorn
ZA-WC,West Coast,Central Office
ZA-WC,West Coast,Atlantis
ZA-WC,West Coast,Citrusdal
ZA-WC,West Coast,Malmesbury
ZA-WC,West Coast,Vredenburg
ZA-WC,West Coast,Vredendal
ZA-GT,AAA School of Advertising,Bryanston
ZA-WC,AAA School of Advertising,Cape Town
ZA-GT,Academy for Facilities Management (distance only),Waterkloof
ZA-WC,Academy of Digital Arts,CPT CBD
ZA-GT,Academy of Sound Engineering (Pty) Ltd,Auckland Park
ZA-WC,Academy of Sound Engineering (Pty) Ltd,Zonnebloem
ZA-WC,ACT Cape Town - Film Acting Academy,CPT CBD
ZA-GT,AFDA,Braamfontein
ZA-EC,AFDA,Cenral
ZA-NL,AFDA,Glen Anil
ZA-WC,AFDA,Observatory
ZA-GT,Afrikaanse Protestantse Akademie,Pretoria
ZA-GT,Akademia NPC,Centurion
ZA-GT,Animation School (Pty) Ltd (The), Craighall Park
ZA-WC,Animation School (Pty) Ltd (The),Woodstock
ZA-GT,AROS,Waverly Pretoria
ZA-GT,Arwyp Training Institute,Kempton Park
ZA-GT,Baptist Theological College of Southern Africa (The) NPC CONTACT,Randburg
ZA-GT,Belgium Campus,Akasia
ZA-GT,Belgium Campus,Kempton Park
ZA-GT,Belgium Campus,Sydenham
ZA-NL,Berea College of Technology,Durban Tourist Juncion
ZA-NL,Berea Technical College,Durban
ZA-WC,BHC School of Design,Cape Town
ZA-NL,Boaton Media House,Durban
ZA-GT,Boaton Media House,Pretoria
ZA-GT,Boaton Media House,Sandton
ZA-GT,Boston City Campus & Business College,Alberton
ZA-GT,Boston City Campus & Business College,Arcadia
ZA-GT,Boston City Campus & Business College,Bedfordview
ZA-WC,Boston City Campus & Business College,Belville
ZA-GT,Boston City Campus & Business College,Benoni
ZA-FS,Boston City Campus & Business College,Bloemfontein
ZA-GT,Boston City Campus & Business College,Braamfontein
ZA-WC,Boston City Campus & Business College,Cape Town
ZA-NL,Boston City Campus & Business College,Durban CBD
ZA-EC,Boston City Campus & Business College,East London
ZA-WC,Boston City Campus & Business College,George
ZA-GT,Boston City Campus & Business College,Germiston
ZA-GT,Boston City Campus & Business College,Johnnesburg
ZA-GT,Boston City Campus & Business College,Kemptonpark
ZA-NC,Boston City Campus & Business College,Kimberley
ZA-NW,Boston City Campus & Business College,Klerksdrop
ZA-GT,Boston City Campus & Business College,Krugersdorp
ZA-NL,Boston City Campus & Business College,Ladysmith
ZA-GT,Boston City Campus & Business College,Lynvwoodglen
ZA-MP,Boston City Campus & Business College,Mbombela
ZA-EC,Boston City Campus & Business College,Mthatha
ZA-NL,Boston City Campus & Business College,New Castle
ZA-GT,Boston City Campus & Business College,Orange Grove
ZA-WC,Boston City Campus & Business College,Paarl
ZA-NL,Boston City Campus & Business College,Pietermaritzburg
ZA-LP,Boston City Campus & Business College,Polokwane
ZA-EC,Boston City Campus & Business College,Port Elizabeth
ZA-NL,Boston City Campus & Business College,Port Shepstone
ZA-NW,Boston City Campus & Business College,Potchefstroom
ZA-GT,Boston City Campus & Business College,Pretoria North
ZA-EC,Boston City Campus & Business College,Queenstown
ZA-GT,Boston City Campus & Business College,Randburg
ZA-NL,Boston City Campus & Business College,Richards Bay
ZA-GT,Boston City Campus & Business College,Roodepoort
ZA-GT,Boston City Campus & Business College,Rosebank
ZA-NW,Boston City Campus & Business College,Rustenburg
ZA-GT,Boston City Campus & Business College,Sandton
ZA-WC,Boston City Campus & Business College,Somerset West
ZA-GT,Boston City Campus & Business College,Soweto
ZA-GT,Boston City Campus & Business College,Springs
ZA-NL,Boston City Campus & Business College,Stanger
ZA-LP,Boston City Campus & Business College,Tzaneen
ZA-NL,Boston City Campus & Business College,Umhlanga
ZA-GT,Boston City Campus & Business College,Vereeniging
ZA-FS,Boston City Campus & Business College,Welkom
ZA-MP,Boston City Campus & Business College,Wtibank
ZA-GT,Business Management Training College (Pty) Ltd (BMT College),Head Office
ZA-FS,Camelot International,Bloemfontein
ZA-WC,Camelot International,Cape Town
ZA-NL,Camelot International,Durban
ZA-GT,Camelot International,East Rand
ZA-GT,Camelot International,Houghton
ZA-GT,Camelot International,Pretoria
ZA-WC,Cape Audio College,Single Campus
ZA-WC,Cape Town Baptist Seminary,Cape Town
ZA-WC,Cape Town College of Fashion Design (Pty) Ltd,Moabray
ZA-WC,Centre for Creative Education/Iziko La Bantu Be Afrika NPC,Plumstead
ZA-GT,Centurion Akademie,Centurion
ZA-GT,Centurion Akademie,Centurion
ZA-NW,Centurion Akademie,Klerksdrop
ZA-NW,Centurion Akademie,Rusternburg
ZA-WC,Centurion Akademie,Tygervalley
ZA-MP,Centurion Akademie,Witbank
ZA-GT,Chartall Business College,Broadacres
ZA-LP,Christ Baptist Church Seminary NPC,Faunapark
ZA-GT,Christian Reformed Theological Seminary (Distance only),Bronkhorstspruit
ZA-EC,College of Transfiguration NPC,Grahamstown
ZA-NL,Commerce and Computer College of South Africa (Pty) Ltd,Duban CBD
ZA-GT,Concept Interactive Cape,Midrand
ZA-WC,Concept Interactive Cape,Salt River
ZA-WC,Cornerstone Institute (RF) NPC,Cape Town
ZA-GT,Cranefield COllege,Pretoria
ZA-GT,CTU Training Solutions,Aukland Park
ZA-FS,CTU Training Solutions,Bloemfontein
ZA-GT,CTU Training Solutions,Boksburg
ZA-WC,CTU Training Solutions,Cape Town
ZA-NL,CTU Training Solutions,Durban
ZA-MP,CTU Training Solutions,Mbombela
ZA-GT,CTU Training Solutions,Menlyn
ZA-LP,CTU Training Solutions,Polokwane
ZA-EC,CTU Training Solutions,Port Elizabeth
ZA-NW,CTU Training Solutions,Potchefstroom
ZA-GT,CTU Training Solutions,Roodepoort
ZA-WC,CTU Training Solutions,Stellenbosch
ZA-GT,CTU Training Solutions,Vereeniging
ZA-FS,Damelin,Bloemfontein
ZA-GT,Damelin,Boksburg
ZA-GT,Damelin,Braamfontein
ZA-WC,Damelin,Cape Town CBD
ZA-WC,Damelin,Cape Town
ZA-GT,Damelin,Centurion
ZA-NL,Damelin,Durban (Overport)
ZA-EC,Damelin,East London
ZA-GT,Damelin,Menlyn
ZA-NC,Damelin,Nelspruit
ZA-NL,Damelin,Pietermaritzburg
ZA-EC,Damelin,Port Elizabeth
ZA-GT,Damelin,Pretoria CBD
ZA-GT,Damelin,Randburg
ZA-GT,Damelin,Vereeniging
ZA-NL,Damelin,Durban
ZA-WC,Dermatech,Table View
ZA-WC,Design Academy of Fashion,Cape Town
ZA-EC,East London Management Institute Pty Ltd,East London
ZA-EC,Ed-U City Campus (Pty) Ltd,Port Elizabeth
ZA-WC,Elizabeth Galloway Academy of Fashion Design,Stellenbosch
ZA-GT,Emendy (Pty) Ltd,Hatfield
ZA-WC,Equine Librium,Plettenberg Bay
ZA-WC,Exercise Teachers Academy (Pty) Ltd,Rondebosch
ZA-WC,FEDISA Pty Ltd,Cape Town
ZA-GT,FEDISA Pty Ltd,Sandton
ZA-GT,Foundation for Professional Development (Pty) Ltd,Pretoria
ZA-WC,George Whitefield College,Muizenberg
ZA-WC,Global School of Theology,Cape Town
ZA-GT,Global School of Theology,Rooderpoort
ZA-GT,"Greenside Design Centre, College of Design","Greenside, Gauteng"
ZA-WC,HC College,Table View
ZA-GT,Health and Fitness Professionals Academy (HFPA),Bedfordview
ZA-WC,Health and Fitness Professionals Academy (HFPA),Claremont
ZA-NL,Health and Fitness Professionals Academy (HFPA),Durban
ZA-MP,Health and Fitness Professionals Academy (HFPA),Mbombela
ZA-EC,Health and Fitness Professionals Academy (HFPA),Port Elizabeth
ZA-GT,Health and Fitness Professionals Academy (HFPA),Pretoria
ZA-GT,Health and Fitness Professionals Academy (HFPA),"Rivonia, Gauteng"
ZA-GT,Health and Fitness Professionals Academy (HFPA),Sunninghill
ZA-GT,Health Science Academy,Pretoria
ZA-GT,Hebron Theological College NPC,Benoni
ZA-WC,Helderberg College of Higher Education,Somerset West
ZA-GT,Henley Business School,Paulshof
ZA-NC,Hugenote Kollege,Kimberely
ZA-WC,Hugenote Kollege,Wellington
ZA-WC,Hugenote Kollege,Worcester
ZA-WC,IHT Hotel School (Pty) Ltd,Belville
ZA-WC,IMM Graduate School of Marketing,Cape Town
ZA-NL,IMM Graduate School of Marketing,Durban
ZA-GT,IMM Graduate School of Marketing,Edenvale
ZA-GT,IMM Graduate School of Marketing,Milpark
ZA-GT,IMM Graduate School of Marketing,Pretoria
ZA-GT,IMM Graduate School of Marketing,Sandton
ZA-WC,IMM Graduate School of Marketing,Stellenbosch
ZA-GT,Independent  Institute of Education,Sandton
ZA-WC,Inscape Education Group,Cape Town
ZA-GT,Inscape Education Group,Midrand
ZA-NL,Inscape Education Group,"Morningside, Durban"
ZA-WC,Inscape Education Group,Stellenbosch
ZA-GT,Inscape Education Group HEAD OFFICE,Pretoria
ZA-GT,Institute of Accounting Science,Meyersdal
ZA-GT,Institute of Accounting Science,New Market
ZA-GT,International College of Bible and Missions NPC,Roodepoort
ZA-WC,International Peace College SA,Cape Town
ZA-GT,International Trade Institute of Southern Africa NPC,Sandton
ZA-WC,Invictus (SAE Institute (Pty) Ltd),Cape Town
ZA-GT,Invictus (SAE Institute (Pty) Ltd),Johannesburg
ZA-WC,Invictus (The International Hotel School (Pty) Ltd),Cape Town
ZA-NL,Invictus (The International Hotel School (Pty) Ltd),Durban
ZA-GT,Invictus (The International Hotel School (Pty) Ltd),Johannesburg
ZA-GT,Invictus (The International Hotel School (Pty) Ltd),Pretoria
ZA-EC,IQ Academy,East London
ZA-GT,IQ Academy,Johannesburg
ZA-GT,Isa Carstens Academy (Pty),Pretoria
ZA-WC,Isa Carstens Academy (Pty),Stellenbosch
ZA-FS,Jeppe College,Bloemfontein
ZA-GT,Jeppe College,Johannesburg
ZA-MP,Jeppe College,Mbombela
ZA-LP,Jeppe College,Polokwane
ZA-GT,Jeppe College,Pretoria
ZA-NW,Jeppe College,Rustenburg
ZA-GT,Jeppe College,Vereeniging
ZA-GT,Katapult Business School (Pty) Ltd,Bedfordview
ZA-GT,Life College of Learning (Life Healthcare Group (Pty) Ltd),Johannesburg
ZA-GT,Lunghile Nursing School (Pty) Ltd,Rosebank
ZA-GT,Macmillan South Africa,Midrand
ZA-WC,Madina Institute NPC,Cape Town
ZA-WC,MANCOSA,Cape Town
ZA-NL,MANCOSA,Durban
ZA-EC,MANCOSA,East London
ZA-GT,MANCOSA,Johannesburg
ZA-MP,MANCOSA,Mbombela
ZA-NL,MANCOSA,PieterMaritzburg
ZA-LP,MANCOSA,Polokwane
ZA-EC,MANCOSA,Port Elizabeth
ZA-WC,Mediclinic (Cape Region Mediclinic Learning Centre),Belville
ZA-FS,Mediclinic (Central Region Mediclinic Learning Centre),Bloemfontein
ZA-LP,Mediclinic (Limpopo Mediclinic Learning Centre),Polokwane
ZA-MP,Mediclinic (Nelspruit Mediclinic Learning Centre),Mbombela
ZA-GT,Mediclinic (Northern Region Mediclinic Learning Centre),Johannesburg
ZA-GT,Mediclinic (Tshwane Region Mediclinic Learning Centre),Pretoria
ZA-GT,Moonstone Business School of Excellence,Pretoria
ZA-WC,Moonstone Business School of Excellence,Stellenbosch
ZA-GT,MSC Business College,Alberton
ZA-FS,MSC Business College,Bloemfontein
ZA-EC,MSC Business College,East London
ZA-GT,MSC Business College,Glenvista
ZA-EC,MSC Business College,Head Office
ZA-GT,MSC Business College,Kempton Park
ZA-LP,MSC Business College,Louis Trichardt
ZA-GT,MSC Business College,Midrand
ZA-MP,MSC Business College,Nelspruit
